[22, -92, 43, -80, 52, -34, 89, 67, -24, 64, 64, 56, 44, -74, -55, -45, -72, -77, -76, -2, 39, -72, 59, -53, 58, -95, -42, 84, 68, -67, 14, 88, -79, 75, 88, 71, -78, 66, 79, -38, -25, -87, 10, -94, -66, -8, -89, -69, -43, -44, -9, -45, -23, -88, 1, -62, 66, 71, -64, -41, 79, -47, -79, 5, 5, 46, -86, 78, 70, -87, 45, -94, -90, -8, 7, -68, 32, -90, -10, 40, 84, -13, 9, 26, 100, 10, -48, 16, 61, -23, -82, 35, 40, 8, -41, -13, -51, 54, -74, -34, -48, 24, -69, 65, 36, 23, -100, 33, 10, -61, -53, -52, -39, 86, 83, -90, 91, 75, 40, 78, -60, -36, -83, -18, -41, 87, 89, 97, -91, 34, -43, 24, 64, -34, 3, -8, -48, -31, 48, 85, 18, -41, 32, -65, -70, 1, 2, 70, -87, -96]
[5, 65, 27, -48, 61, -12, -35, -61, -74, 92, 31, -69, 81, -87, -4, 31, -99, -75, -50, -23, 21, 82, 21, -38, -86, -38, 26, -87, 31, -74, -21, 55, -57, 84, 75, -38, 64, 95, 13, 24, 51, -8, -9, 78, 57, 49, -91, 5, 55, -19, -77, 37, -83, 100, 60, 24, 7, -52, 94, -82, 12, -33, -44, -3, -3, 7, -39, 31, -31, 14, -81, 61, 92, 11, 68, 12, 37, -26, 66, 88, -44, 83, 38, 39, -100, 71, -24, -14, -9, -63, 75, -90, -68, 68, 15, -78, -62, 20, -64, -41, 67, -53, -100, -40, 32, 11, -68, 64, -46, -43, 47, -98, 87, -38, 69, -57, 22, -57, 61, 19, 37, 81, 19, 9, -74, 70, 55, 43, -65, -63, 19, 85, -49, -52, -99, 29, -37, -53, 99, -20, 71, 33, 57, 70, -73, -100, 73, -60, -55, 27]
[-55, -7, 63, 13, 86, -55, -14, -81, -56, -24, -99, 44, 83, 96, 71, 52, 38, -18, -57, -65, 77, -83, -36, 2, -8, -11, -28, -1, -78, 89, 57, -26, 85, 91, 10, 42, -23, 86, -16, 58, 62, 85, 63, -52, 3, -93, -100, -65, -5, 83, 84, -62, -3, 39, -79, -7, 49, -65, 49, 11, -33, 33, -91, 40, -62, -92, 55, 48, -52, 60, 71, -53, 22, 98, -15, 31, -43, -37, 47, -17, 80, 12, -56, -69, 96, 61, 13, -82, 5, -38, 51, 84, -26, 78, -69, -26, 16, 43, 84, 51, 63, 89, 45, 84, 61, -32, -95, -17, -5, -70, -52, 67, 25, 94, 92, -45, -23, 70, 39, -64, 39, 41, 83, -100, 55, 44, -94, 21, 80, -7, -2, 21, 42, 3, 80, 87, 6, -42, 95, -1, -58, -36, -18, -89, 47, -100, 76, 18, 42, 40]
[-78, 25, 52, 67, 1, -94, 66, 41, -71, 98, 45, -70, -52, -65, -86, -42, 22, 10, 1, -42, 95, 80, 85, 18, 23, -37, -85, 14, 39, -53, 14, -86, -87, -79, 100, 35, -66, -92, -68, 30, -42, -33, 42, 93, 12, -50, -54, 72, 59, 36, -88, -85, -15, -10, 40, -22, 89, 14, 29, -36, -82, -25, -9, 95, -34, 52, -64, -26, -85, 27, -96, -16, 100, -3, 30, -76, -95, 32, 43, 64, -74, 36, -28, -51, 70, 20, 59, -69, 5, 92, -37, -20, -81, -95, 28, -58, -88, 70, -39, 35, -52, 76, -10, 98, 65, -17, -12, -81, -58, 60, -29, -63, 74, 82, -55, 29, -24, -99, 59, -58, -3, 80, -87, 69, -25, -55, -16, 92, 9, -91, 57, -90, 48, -65, -19, -24, -42, -88, 30, -82, -20, 49, 47, 60, 43, -82, 43, 64, 46, 51]
[15, -90, 83, -55, -21, 28, -21, 74, 81, 6, 4, -98, 37, -31, 50, -64, -93, 16, -98, -36, 10, 18, -81, -55, 25, 62, 37, -49, -41, -70, -85, 27, 17, -57, -85, -71, -89, -6, 83, 72, 77, 27, -62, -61, 76, 3, 4, -80, 39, 69, 73, -81, -54, -1, 60, -14, -36, 81, 94, 80, -62, -51, -88, 36, -18, 49, -83, 89, -64, -29, 67, 6, -22, 22, 30, -14, -6, 44, -64, -8, 63, -15, -9, 3, 98, -95, -83, 68, 68, -70, -60, -45, 18, -6, 52, 5, 69, 58, -47, 47, -8, -74, -96, -80, 37, 82, -37, -26, 12, -98, 81, 74, 23, 19, 52, -18, 55, 92, -48, -11, 65, 39, 90, -49, 3, 83, -63, -11, -58, 43, 81, 98, -10, 59, 4, -83, 55, 77, 90, -83, -40, 1, -96, -51, -86, 45, -58, 92, -59, 39]
[31, -50, 33, 76, 84, 50, 92, 55, -44, 92, -81, 57, -65, 74, -56, 56, -35, 11, -86, -34, -47, -11, 47, -22, 70, 32, 37, 91, -55, 78, 1, -99, 56, 60, 88, -13, 37, 4, 0, 41, -34, 51, 75, 94, 39, -18, 44, 93, -94, -32, -92, 82, 96, -2, 59, -100, 67, 58, 3, -27, 83, -65, 95, -72, -71, 3, 39, -82, 68, 33, 73, 52, 51, -79, -67, 31, 72, 15, -30, -46, 34, -5, 64, -53, -79, -57, -43, 7, 38, 19, -30, -23, 50, 98, 20, -88, 2, 21, -22, -61, -51, -12, -54, -66, 62, 8, 8, -24, -70, -87, 14, -11, 88, -16, 18, -90, -7, -51, -93, 20, 72, -91, 93, -74, 66, 37, -29, 32, -23, 29, 71, -12, -22, 31, 63, -68, 88, 1, 78, -57, 5, -10, -64, -8, -18, -2, -85, -75, -64, 21]
[33, -12, 20, -94, 4, -49, -46, 92, -51, -99, 6, -100, -67, 66, 53, 30, -11, 54, 96, -23, -99, 45, -91, -76, -95, 15, 31, 6, -58, -2, -7, -2, 68, 81, 13, 72, 59, -14, -73, 82, -93, -57, 33, 60, 74, 81, -84, 32, -88, -22, 18, -57, 45, 3, -47, -82, 48, -26, -72, -41, -43, -25, 89, -98, 50, 19, 87, 62, 4, -25, 3, 89, 72, 47, -86, 1, 82, -67, -12, -49, -68, -22, -60, -19, -43, -81, -89, -49, -92, -7, -74, 97, -90, -71, 62, -33, 54, -60, -86, -56, -92, -89, 45, -82, -72, 10, 23, -74, 3, -98, -38, 89, 24, -54, 49, -65, -64, 50, 16, -4, -88, -72, -85, 73, -7, -52, -35, 46, -94, -15, 51, -82, 83, -51, -25, 100, -22, -99, -46, -42, -62, -79, -17, -97, 69, -87, 14, -20, -56, 35]
[32, 18, -70, -11, 8, -2, -53, -85, -100, -99, 83, -21, -18, 39, 56, 69, 76, 7, -48, 38, -88, 74, 67, -79, -69, 70, -11, 7, -95, -78, -34, -41, -77, 3, 29, 63, 30, 14, 15, -63, -19, -65, -34, 22, -68, -24, 46, 17, -83, -77, 1, 76, 76, -16, 6, -19, 15, -100, 8, -56, 74, 84, -41, 62, -37, 14, -91, -98, 78, 28, -43, 1, 69, -19, 13, -82, -59, 37, 27, -50, -35, -48, -96, 60, 56, -33, -93, -69, 46, -90, 28, -74, 73, -46, 63, -88, -78, 45, -79, 89, 90, -71, 65, -27, 28, 79, -2, -95, -48, 22, -69, -7, 28, -21, -85, -18, 77, 2, -38, 58, 98, -20, -55, 72, -53, 86, -40, -31, 32, 13, -41, -82, -44, 34, -50, -1, -31, -97, 59, 4, 73, 42, -6, 25, 51, 7, 25, -65, 81, -94]
[43, -53, -24, -85, -35, -46, 8, -3, -49, -18, 62, 53, -41, 66, -82, -69, 71, 49, -56, -85, 92, -43, 8, 12, 83, 95, -31, 70, 50, 36, -77, -49, -35, -19, 39, 59, -28, -37, 36, 50, -75, 95, 32, 77, 54, -2, 25, 31, 0, -15, 77, 3, 57, 19, 86, 79, 92, -44, -90, 41, -7, 56, -62, 45, -96, 87, -44, 21, -32, -68, -3, 95, 14, -19, -36, 62, 0, 40, 47, -39, 34, -70, 14, -58, -64, 84, -72, -62, 44, -22, -6, -32, -51, 54, -82, 60, -89, -53, -4, -4, -24, -86, -62, 96, 49, -7, 22, -41, -59, -28, -9, 4, 45, -57, 14, -67, -47, -16, -77, 38, -90, 3, 54, -71, 22, -62, -63, 73, 88, 42, -42, -35, -11, 12, -15, 81, -58, -34, -26, 1, 80, -49, 88, 24, -70, -26, 18, -75, -91, -9]
[-76, -93, -80, -16, -52, -22, -62, -99, -27, 91, -5, -19, 27, 53, -51, -66, -42, 27, 31, 42, -65, -49, -91, 42, -35, -26, 20, 14, -75, 42, -41, -52, 64, 35, -92, 39, -48, 92, 68, -16, -14, 97, -29, 81, 18, -99, -56, 10, 5, 57, -97, 72, 88, 83, 21, -38, -79, -63, 0, -91, 23, -8, -91, -92, 33, 25, -97, 98, 39, 70, -55, 75, 74, -59, -93, 38, 90, -77, -4, -52, -29, -29, -53, 15, -69, 75, 71, -81, -44, 66, -99, -88, 66, 73, 4, 92, 28, 67, -12, 7, 84, -86, 42, -98, 13, 79, 71, -31, -15, 66, -71, -29, -68, 57, -77, -49, 7, 94, 23, -49, -43, 100, -64, -23, -31, 53, 23, 0, 1, 3, 75, -91, 90, 33, 90, -23, -52, 86, 80, -15, -34, -97, -87, 22, -38, 80, 100, -25, -94, 34]
[91, 56, -98, 49, 20, 72, -12, 78, 25, -81, -28, 1, 27, -36, 26, 22, -74, -56, 59, -87, 40, 45, -84, -28, 58, -36, -83, 6, -98, 51, 24, -75, 18, 61, -97, 99, -21, 34, -92, 18, 51, -67, -33, 19, -27, -34, 54, -56, 48, 62, -16, 100, -16, 96, 69, -42, -12, 68, -31, 72, -27, -62, 54, -4, 48, -99, 38, 75, -9, -8, -32, -58, 13, -25, 89, 21, 25, -26, 98, -93, -62, -87, -88, 32, 54, 28, 54, 91, -30, -10, -31, -99, 19, -13, -27, -12, -90, -74, 100, 0, 66, -68, -27, 94, -78, 78, 73, -50, 33, -4, 34, -56, -57, 27, 40, -89, 8, 11, 15, -51, 80, 80, -16, 11, -28, 18, -11, -77, 14, -61, -44, 75, 76, -57, 92, -36, 69, 73, 21, -13, 92, -53, -56, -63, 30, -22, 22, 54, 46, -1]
[80, -51, -10, -55, -63, 87, -100, -9, 98, 62, -53, -63, -53, 86, -73, 100, -8, -29, -73, -6, 35, 41, -7, -55, -51, 74, 18, 60, -52, 71, 96, -68, 63, -46, 66, -19, 79, -95, -31, 41, 16, 65, -17, 0, -36, -86, 45, 54, -98, -90, -24, 47, 71, 52, 2, -24, 17, -89, 38, -3, 53, 6, -12, -90, 99, -17, -99, -84, -58, -52, 39, -18, -69, 13, 41, 26, -27, -78, -34, 78, -67, 72, 2, 30, 100, 84, 54, 71, 48, 72, -53, 40, 12, -65, -44, -13, 64, 40, 92, -81, -12, -79, 5, -36, 83, 74, 56, 20, 27, -45, -73, -19, -69, -71, 10, -74, 33, -13, -51, -10, -33, 43, 95, 56, 88, -92, -89, -92, -1, -39, 67, -60, -42, -97, -61, 70, -76, 93, -49, -92, 19, 33, 4, 16, 95, -46, 45, 38, 7, 44]
