[-39, -53, -85, 75, 28, 6, 83, 13, -63, 93, 67, -63, 90, 16, -96, -11, 91, 64, -77, -30, 71, -53, 33, 93, -66, 60, -14, -28, 29, 87, -89, 14, -32, -80, -72, 72, -45, 84, -40, 84, 37, 81, 50, 22, -54, 33, -75, 0, -61, 6, 2, -94, -61, 27, -91, 47, 2, 31, -80, -96, 92, 28, -37, 54, -22, -24, 35, -56, -20, -95, 53, -2, -21, 99, 36]
[83, -68, -83, -68, -25, -93, 7, 85, 79, 70, -24, -87, -37, -13, 16, -90, -89, -43, -19, 49, 30, -23, -41, 35, 39, 21, -5, -5, -73, -2, -69, -79, 7, 93, -5, 11, 75, 20, 93, -14, -37, -26, 41, 92, -94, 59, -86, -5, 5, 67, -42, -56, -99, 94, -92, -65, -38, 69, 16, -72, 18, 47, -77, -28, 0, -63, 20, -57, 47, -36, 61, 8, 32, 85, -20]
[-23, -86, -40, -24, -45, -26, -100, -70, 29, -93, -25, -85, 100, 14, 5, 51, 24, -24, -49, -73, 80, -46, 18, 72, -95, 44, 94, 13, -73, 82, -52, 34, 60, -66, 5, -49, 81, -50, 84, 63, -65, -35, -69, -83, 83, 12, 69, -2, 29, -19, 64, -84, 71, -67, 65, -89, 3, -15, -29, -58, -18, 82, -19, 85, -12, 29, -60, 1, 79, -98, 27, 25, -38, 14, -37]
[-83, 2, 68, 42, -55, -92, 61, -9, -44, -9, 89, -4, 18, -32, 32, -37, 18, 76, 35, -30, -16, 9, -60, -7, -87, 85, -97, -79, 83, 66, -9, -5, 73, -80, -6, -63, -28, -56, 58, -47, -36, -64, 0, -91, -69, 2, -27, 82, -66, 67, -97, -78, 42, -84, -75, -55, 26, -70, 27, -63, -14, -63, 38, 33, 68, -6, -3, -73, 95, -17, 90, -85, -95, 59, -63]
[16, -67, -67, 43, -48, 61, -54, -36, 88, -54, 0, -79, -5, -10, 0, 86, 76, -3, 14, -11, -69, -41, -24, -12, -87, -72, -46, 68, 82, 36, -78, 76, -87, 75, -13, 39, 52, -38, 27, 93, 18, 19, 54, 22, -56, 23, 97, -32, 1, -75, 31, 93, -65, 2, -23, -22, -66, 17, 29, -18, 77, 86, 58, 88, -7, -2, 82, -47, 78, -26, -55, -25, -17, -52, -48]
[-95, 41, -35, 36, 58, 14, 6, -88, 43, -67, 26, 91, 20, -96, -99, 53, -72, -78, 10, 57, 79, 81, 36, -2, -16, -30, -9, 29, -60, -31, 34, 10, 18, 78, -25, -17, -46, 90, 72, -58, 49, 71, 96, 39, 71, -87, 71, 97, -23, -43, -70, -73, 8, -78, -23, -11, 68, -64, -87, -87, -58, -12, -73, -10, -29, -99, 28, 39, -38, -33, 81, -32, -97, -79, 81]
[75, -12, -14, -8, -95, 64, -17, -15, 56, -86, -86, -40, 100, -19, -84, -49, -90, 11, -75, -29, -62, -100, -85, 52, 26, 88, -79, -89, -37, -11, 94, -29, 75, 48, -99, -56, 35, -7, 15, 61, 64, -30, -86, -67, 11, -98, -7, 41, -92, -78, -100, 42, -70, -51, 61, -71, -3, 86, 10, -67, 84, -66, 73, 0, -63, 2, -84, -63, -59, -32, 12, -18, -38, 92, -10]
[41, -53, -36, -3, 78, -65, 80, -39, 9, 31, -29, -68, 46, 91, 2, -82, -65, -30, 94, 83, -30, -26, -88, -80, -8, -29, 26, 28, 23, 77, -88, -39, -42, 29, 5, 83, -57, 48, -70, -31, 59, 50, -76, 45, 31, -66, -22, -77, 68, -73, -13, 7, 96, -87, 67, -56, -60, 57, -39, 66, 90, 34, -20, -94, -67, 28, -43, 54, 21, -45, 11, 24, 4, -90, -41]
[90, -4, -53, 63, -54, 21, 44, 47, 44, 80, -84, 100, 96, 81, -23, -6, -70, -76, -35, 23, -11, -29, 66, -14, 45, 0, -97, 12, -42, 64, -53, -28, -78, 100, 80, -20, -33, -68, -6, -94, 46, 92, 6, -18, -92, -47, 12, -47, 85, -93, 6, -54, -4, 24, 73, -96, -34, 35, 90, 2, -26, 55, -32, 83, -22, -27, 39, -15, 83, -44, 33, -24, -43, 27, 63]
[41, -88, -39, -68, -72, 67, 83, 43, 48, 99, -50, 99, 7, -44, 30, -4, -37, 43, 28, 54, 20, -6, -33, -77, -76, 16, -5, -23, 48, 66, -98, 64, -26, -42, 23, 81, 20, -20, -19, 50, 64, 31, 99, 45, -3, -8, 57, 82, -39, 42, -95, -14, 93, 42, -4, 50, -33, -24, 96, 20, 35, 47, -8, 64, 42, 91, -79, 19, -10, -93, 87, -44, 64, -8, -65]
[-75, 100, -53, -37, 95, 13, -10, 13, -44, 72, -90, -5, -18, 89, -65, -31, -59, -23, 65, -71, 52, 98, 83, 45, -33, 63, -63, 99, -3, 96, -52, -4, -30, 76, 13, 55, -98, -94, 100, 7, 10, -71, -33, 30, -62, 85, 14, 41, -54, -15, -50, 52, -92, -24, -38, -48, -60, 20, 19, 60, -37, -36, -75, -19, -58, 5, 70, -14, -99, 8, 36, -7, -83, -55, -20]
[-33, 36, -31, 15, -57, 23, 60, 68, -13, -37, 2, 68, 48, -15, 79, -58, -86, -24, -26, -30, -56, -88, 92, -1, 66, 6, -9, 1, 81, 90, -36, 48, -97, 3, 59, -52, 13, 50, -3, -79, 6, -19, -60, 40, -62, 76, -66, 46, -29, 71, 29, 98, -53, -4, 59, -5, 74, -98, -22, -54, -25, -49, 99, 77, -53, -48, -21, -77, 91, 51, -90, 18, 62, -58, 2]
[83, -39, -92, -1, 49, -83, 33, -8, -17, 67, -6, -77, -33, -63, -78, 91, 71, -13, 33, -42, 1, 6, -65, -7, -75, -30, 89, -75, -39, -9, -61, 25, 23, 80, -44, 30, 10, -79, 48, 18, -100, 34, -26, -50, -12, 36, 5, -86, -7, -85, 51, -40, 34, 5, 13, -91, -100, -48, 74, 19, 31, 82, -34, 23, -84, -3, 8, 74, -84, 83, -93, -86, 51, -88, 33]
[-83, -58, 69, -31, 50, 92, 36, -15, 22, 91, -37, 41, 49, 12, 70, -77, -5, -15, -57, 17, -8, 45, -26, 89, 58, -2, 66, -54, -42, 4, 43, 7, -25, -74, 44, -32, 64, 11, -8, 67, 22, 46, 58, -75, -68, 77, -40, -25, -70, 17, 100, 97, 45, -82, -95, 64, 78, -52, -73, 16, -81, 57, -21, 3, -38, -92, 94, -18, -31, -75, 69, -36, 31, 47, -99]
[-5, -60, 32, 27, 19, 9, 100, 93, -46, -97, 24, 75, 6, 9, 57, 69, -97, -88, 4, -46, 29, 20, 95, 15, -16, -53, 100, 19, -42, -82, -35, -77, -83, 97, -9, 71, -72, 94, 37, 66, 83, -48, -8, 65, 52, -21, 60, 5, 63, 4, 87, 8, 90, -48, 12, 88, -31, -46, -26, 9, -73, 59, 38, 73, 31, -44, 71, -28, 4, -6, -86, -19, -56, 47, 57]
[79, -63, -14, 62, 8, -44, 79, -57, -98, 60, -26, -23, 6, 4, 100, 59, -67, -4, 23, 77, -48, -48, 14, -93, 79, -50, 4, 0, 75, 47, 69, 30, 56, -37, 20, 32, -100, 75, 92, 90, -38, 41, -58, -40, -87, -68, 90, -24, 58, 98, -93, 85, 7, 100, -96, 40, -86, 84, -39, -77, 34, -12, 8, -97, -46, 55, 89, -87, -77, 70, -59, -32, -10, 76, 99]
[12, -27, 2, -96, -78, 3, 91, -53, -32, -38, 18, 39, -84, 49, 40, -31, -90, 34, 99, 79, 10, -16, -13, -48, -53, -56, 36, 53, 38, 80, 20, 32, 28, 63, -19, -40, 60, -66, -46, 3, 86, 6, 0, 97, -53, 82, 63, -17, 14, -33, -71, 50, -36, -27, 67, 80, 28, 25, 5, 37, -58, 33, -81, 22, -76, 94, -60, -90, -45, -99, -16, -84, 10, -71, 86]
[-20, -61, 70, -26, 38, 32, -69, -90, 9, -43, -91, -95, 74, 19, 72, -52, 18, -11, -66, -60, 83, 46, -94, 100, -71, -67, 99, -58, 79, 11, -92, 97, 36, -93, -83, -23, -51, -88, 54, -58, 18, -10, 80, -74, 1, -82, -16, -82, -86, 90, -91, 100, -17, 36, 59, 28, 95, -54, -92, 5, 97, 35, 49, 72, 39, -81, -71, -74, -90, 28, 18, -9, -93, 25, -23]
[-66, 76, -84, -58, -52, 23, 15, 27, -21, -37, -20, -77, 91, -95, 2, -45, 30, -41, 18, -90, -16, 96, -88, 23, 19, 5, -17, 92, 4, 90, -64, -65, -37, -55, 52, -20, 52, 75, -72, 77, 87, 82, 4, 69, -94, 3, -54, 82, 95, 37, -49, 59, -59, 56, 61, 90, 90, -75, -17, -5, 44, 73, -94, 96, 87, -7, 55, 31, -21, -46, 81, -54, 1, 65, 77]
[77, 14, -95, -35, 57, 38, 84, -34, -33, -15, 50, 17, -97, 7, 92, -63, -77, -72, 60, -37, -11, 43, 39, 84, -32, -66, 15, 63, 97, 90, -95, 19, 1, 47, -11, 92, -39, -79, -64, 64, -60, -5, 91, 48, 98, 9, -26, -71, 73, 43, 65, -1, -31, -55, 87, -54, 97, -33, 32, 26, -62, 44, 47, 51, -52, -33, 53, -47, -42, -1, -69, 77, -19, 58, -5]
[-95, 27, -29, 56, 47, 96, 9, -29, 79, 17, 59, 83, -40, 1, 63, 64, 42, -4, -20, 94, 3, -42, -92, 3, -89, 41, 73, 42, 66, 65, 61, -84, -26, -21, 36, 65, -6, -58, -20, -45, -53, 42, -62, -94, -41, 73, -54, -42, -7, -7, -52, 46, 36, -11, -4, -75, 10, 7, -100, 80, 26, 18, 82, -83, 69, -22, -21, 10, -15, -4, -71, -87, -72, -27, -63]
[73, -97, 11, 96, -85, -39, -24, -69, 57, 47, -45, -76, -65, 55, -3, -33, 88, -15, -85, 61, 63, 78, 33, -96, -3, 9, 62, -97, 59, -95, -10, -77, 32, -20, -82, 37, 100, 67, 60, 90, 69, -19, 26, 6, -8, 91, -58, -88, 98, -51, -63, 88, -48, 29, 55, -36, -10, 90, 74, 52, -17, -18, -48, 91, 98, 12, 88, 48, -53, 7, -35, 61, 59, -94, 93]
[-94, 4, -2, -5, 14, -23, 66, 50, -1, 100, 44, -43, 86, 14, -20, -60, -78, -30, -57, 83, -20, -49, 85, -9, -75, 9, 51, 71, -45, -73, -77, 7, 39, 91, 32, -4, -8, -50, -13, -57, -23, 65, -38, 39, -79, 58, -68, -43, 91, 70, 9, 51, 77, -12, 96, 91, 27, -42, 68, 3, -99, 51, -46, -44, 53, -1, -31, 50, 89, -21, 33, -89, 11, 29, -8]
[75, 3, -36, -70, 77, 61, -47, -63, 62, 26, -99, 12, 51, -37, -70, -67, -52, -60, -51, 59, -30, 27, 49, -79, 34, 11, 37, -5, 78, 61, 11, 10, 86, -13, -27, 19, -43, 24, -24, -79, 50, -64, -83, -71, -6, -66, -7, -53, 52, 75, -100, 1, 89, -66, -71, -71, 69, 16, -17, 28, 79, 22, 95, 91, 12, -80, 99, 100, -36, 5, 39, 73, 5, 56, 4]
