[-77, -20, 55, -62, 28, 56, 84, -83, 40, -65, -73, -25, -52, -74, 39, 52, -44, -17, -78, -1, 96, -96, 12, 37, -7, -41, 74, 51, 81, -60, 30, 22, -46, 66, -31, -91, 52, 13, 97, -95, -33, 30, 36, 13, 89, 91, -72, 36, -2, -6, -79, 85, -4, 82, -45, 11, 0, 35, -42, -92, 100, -38, -76, -31, 83, 83, -63, 75, -36, 74, 58, -72, -72, 52, -10, -70, -18, 48, 4, 78, -10, 84, 48, 7, 56, -45, 2, -32, 50, 13, -26, -3, -72, 89, -84, 76, -31, 33, -93, -27]
[-49, 10, -27, 33, -90, -92, 17, -85, 28, 54, -75, 72, -89, 46, -27, -85, 79, 59, 48, -82, -88, 42, -70, 75, -29, -56, -26, -20, 82, -15, 53, -16, -21, 48, -95, 36, -63, 87, 100, -96, -12, 63, 43, -84, -81, 34, -68, 59, 92, -49, 32, -74, 20, 39, 38, -78, 52, -72, 79, -6, -30, 77, 5, 16, 7, -32, -75, -24, -1, -24, -60, -89, -9, -29, -40, -87, 46, -53, -85, 20, 62, 16, 79, 50, 37, -68, -87, 5, -37, 32, -40, -77, -98, -59, -47, -62, -83, 52, -46, -79]
[-51, -79, 56, 34, -17, 24, -20, 61, 77, 24, -37, -36, 57, 7, 100, -21, 1, 54, -29, -97, -6, 19, 21, 73, -4, -19, -71, 29, 96, -74, 27, -11, -31, 44, 11, -95, -100, -51, -71, -30, -21, -88, 34, -19, -70, -4, -44, 65, 83, -43, 60, 42, 66, -72, -54, -88, 79, 63, -21, -15, 56, 77, 97, 29, -5, 46, 36, -1, -12, 96, -50, 28, 74, -2, -94, 33, -75, -31, -35, -10, -69, -68, 2, -51, -65, -77, 64, 56, -82, 95, 13, -90, -43, 73, 34, 9, -30, 50, 9, 92]
[-15, -67, 9, -91, -88, -93, -68, 73, -50, -72, -71, 19, -26, -70, -8, 96, 24, 85, -28, -68, -16, 64, 56, -34, -57, 89, 47, -86, 32, -89, 12, -16, -14, 35, -89, 88, 25, -73, -43, -63, 42, 59, 2, -51, 56, -75, -37, 46, 41, 56, -27, 50, -30, -66, -4, -48, -52, 48, -58, -14, 16, 43, -22, 47, -47, -64, -30, 50, 39, -36, 82, 76, 60, -51, -100, -74, 2, 40, -31, -58, -48, 46, -22, -27, -28, 59, -65, -40, -94, -17, -6, 38, -94, 93, -95, -22, -63, 99, -37, -1]
[49, -39, 73, 41, -77, -4, -8, -97, -95, 43, -11, -22, -3, -86, -17, -39, -75, 36, -68, -29, -36, 56, -12, 18, -10, -40, -51, 82, -95, 52, -26, 46, 27, -12, -75, 20, 22, -21, -63, -98, 20, -32, -85, 61, -12, -55, -65, 40, -24, -37, 1, -64, -49, -64, -97, -2, -91, -89, 93, 14, 94, -37, -6, 67, -11, 88, -97, -81, 55, -38, -12, -82, -3, -40, 2, 87, 69, -62, 72, 60, -93, -29, -2, -28, 38, -22, -77, 88, 97, -67, 84, 97, 66, -95, -60, 90, 81, 78, -72, -85]
[14, 83, -80, -9, -82, -60, 13, 63, -35, -76, 41, -99, 29, -85, -42, 94, -58, -22, -68, -1, 33, 97, 5, 42, 23, -79, 75, -44, -95, 41, 62, 9, -20, -32, -78, 38, 55, -20, 7, 44, -75, -23, -6, -30, -93, -2, 82, -35, -50, 27, -7, -85, 35, -11, -29, -48, -58, -41, 93, -44, -68, 10, -11, -39, 51, 40, 71, 84, -13, 12, -4, -2, -15, -43, -57, -11, -93, 96, -85, 28, -50, -44, -33, 96, -6, 39, -67, 83, -36, 29, -77, 19, -62, -5, 3, 53, -7, 18, 44, 84]
[-82, 27, 76, 90, -66, 50, -81, 66, -72, -53, 1, -84, 41, -70, 81, 56, -63, -71, -41, 34, -91, 50, -56, 52, 47, -25, 85, -50, 18, -74, -4, -62, 60, -97, 43, 13, -95, -92, 12, -72, 38, 84, -67, 39, -29, -6, 74, -2, -95, -19, -38, -87, 85, -77, -91, -30, 70, -34, 8, 26, 79, 6, -22, 98, 62, 54, -21, 2, -4, -37, 88, 91, -37, 68, -98, -65, 29, 99, 71, -21, 65, -83, -36, 88, 32, -68, 77, 73, 86, -20, -19, -8, 70, -99, -76, -41, 33, -61, 8, -86]
[-67, 46, -16, -70, 52, -23, -92, 42, 100, -14, -48, -78, -8, -16, 79, 64, -49, -89, -91, 15, -80, 21, 89, 62, 19, -25, -98, 83, 51, -30, -55, 92, -32, 9, -81, -40, -75, -73, -13, -93, -7, 43, -50, 86, -6, -16, 64, 45, -13, 99, 60, -1, 4, 35, 51, 81, 68, 93, -77, 80, 8, 20, 7, -17, -13, -60, 58, -18, -64, -32, 58, 16, -20, 23, -15, -94, 36, 63, 81, 26, 25, -34, -4, -72, -80, -18, 10, 88, 28, 12, 51, 2, -66, 98, 55, 57, -45, 16, 43, -100]
[64, -33, -54, -87, 86, 45, -47, -44, -29, -21, -51, -78, 55, -62, 22, 97, -9, -21, 18, 14, -95, -47, 72, 91, -72, -95, 25, -25, -85, -99, -32, 56, 3, -30, -85, 21, -43, 52, -80, -53, 78, -33, 5, -28, -36, -70, -63, -65, -57, -25, -65, -16, -74, 17, -53, 43, -44, 2, -86, 84, 96, 41, -49, -99, 60, 40, -79, -83, -28, -35, -70, 79, 77, 51, 54, -55, 40, 42, 12, -73, 26, 99, -80, 51, -72, 65, 95, -69, -32, -39, -90, -27, -83, -87, -36, 36, -2, 5, -67, -1]
[-67, 93, 82, -55, 27, 14, -68, 89, -44, -9, 4, 87, 12, 96, 93, 37, 20, -33, 97, 87, 43, -81, 95, -64, -12, -5, -28, 24, 5, -17, -45, 19, -72, 30, 4, -47, 66, -53, -96, -4, 70, -34, 49, 81, 27, 15, -73, 94, 89, 90, -15, -41, -24, 92, 54, 26, 19, -59, -19, -39, -83, 13, -10, -46, -64, 90, -98, 37, 79, 45, 81, 68, 49, -66, -73, 2, -37, -81, -26, -64, 91, -9, -58, 14, 93, -95, -12, 2, -91, 76, 66, -33, 25, 22, -6, 4, 37, 62, 34, -71]
