[-36, -36, 72, -14, -18, -3, -69, 47, 52, 79, 43, 17, -29, 82, 90, 82, -21, 67, -73, -49, 12, 13, 85, -63, 17, 32, -76, 16, -73, -77, 5, 67, -87, 83, -5, 1, -84, -62, 25, -77, -95, -13, 9, -38, 48, -29, 20, -90, 64, 25, 83, 100, -58, 56, -34, 97, 46, -6, -73, 55, 66, 58, 11, 24, 79, -18, -61, -23, 59, -4, -34, -82, 71, -53, 37, 10, -98, 17, 50, 51, -36, 6, 5, 61, 88, 41, -65, 43, -91, 15, 33, 22, 50, 17, -79, -56, -82, -96, 61, 91, 59, -97, -69, 88, 9, 70, 45, -61, -87, -60, 93, -73, -57, -39, 0, 31, 31, 4, 42, -41, 9, -60, -100, -75, -77, -52, -70, -74, 36, -30, 71, -5, -1, 53, 81, -46, -7, 37, 32, 48, -82, -37, -58, 7, 42, -98, 98, 90, 26, -70, 13, -85, 56, -87, -45, -58, -20, 3, -78, 62, -17, -71, -10, -7, -38, -99, -5, -19, -61, -85, -84, -83, -78, -7, -92, 35, -77, -9, -19, -55, -43, -93, 86, 96, -47, -53, -71, -24, 84, 57, 43, -57, 87, 92, 94, 46, -65, -60, -2, 36]
[19, 28, -12, 5, 6, -99, 2, 85, -78, -53, -19, -87, -84, -63, 97, 77, -91, 98, 1, -47, 21, 43, 93, -91, -24, 34, 52, 59, 93, -15, -26, 62, 93, -31, -11, -61, -98, -76, 50, -27, -32, 72, -28, 3, 16, 37, 86, 87, 69, -93, 56, -1, -77, -60, 92, -64, 95, 71, -67, -6, -25, 78, -3, 20, -45, -32, -14, -34, 26, -88, 18, 18, -7, 19, -56, 34, 61, -23, -18, 18, 34, -42, -19, 60, -25, -40, -95, -65, -9, 8, 89, 75, -56, -3, 41, -94, 85, 73, 74, -8, 74, -67, -28, 84, -52, 69, -91, -94, 94, 50, 3, 65, 57, -12, -10, 27, 54, 45, 63, -11, -16, -93, 11, 12, -70, -35, -40, 58, -3, 95, 45, 43, -12, 47, -69, -97, -40, 57, -3, 26, -47, -61, -61, 26, 81, 86, 12, 63, -29, 78, 80, 79, 26, -97, -97, 55, -67, -30, 32, 43, 62, 9, 76, 10, -39, -51, 86, -80, -60, -68, 20, -99, -15, -56, -54, -75, 55, -17, -98, 79, 69, 19, 3, -52, 82, 37, 4, -27, 97, -44, 87, -21, 86, -43, -12, -80, 18, 8, -27, 32]
[58, 87, -97, 71, 53, -72, 95, 13, 20, -30, 80, -73, -88, 25, -66, 3, 1, 43, -74, -67, 6, -32, 91, 44, -32, -9, 70, -86, 99, -22, 8, 96, -85, 93, -24, 33, 50, 58, -51, -63, 62, -75, -29, 90, -36, 31, 53, -49, 49, 76, -13, -22, -79, 13, -52, 5, 55, -75, -32, 27, -64, -14, 77, 17, 99, 46, -62, 42, -2, -55, -61, -30, -24, -12, -31, 60, 1, 28, 3, 69, 13, -25, 29, -80, 90, 19, 70, 51, -78, -70, 17, -68, -59, 72, -6, 91, -49, 2, 28, -48, 14, 42, -65, 95, 93, -60, 11, 9, 87, 67, -79, -30, -42, 13, 4, 80, 7, -27, 10, 46, -89, 88, -61, 11, 38, -23, -47, -99, -21, -16, 77, 22, 73, -99, -15, -50, -52, 96, 81, -62, -61, 86, 59, -7, 40, -2, -59, -51, -93, 70, 80, -76, -65, 23, 73, 35, 75, -45, -85, 87, 98, -56, 54, 92, 33, -16, -38, 42, 2, -44, 94, 16, 43, -6, 78, 13, 43, 99, 55, 53, -34, -17, 39, -57, -83, -32, 8, 51, -92, 29, 0, -66, 26, 32, -22, -72, -67, 82, 42, 9]
[6, 44, 77, 68, 88, -11, -45, 4, -68, -40, -44, 6, 99, -84, -74, 57, 96, -24, -80, -5, -81, 76, 95, -90, 93, -40, 37, 35, -13, 37, -36, 83, 10, -17, 4, 37, -28, 88, -81, 17, -84, 15, 84, 26, -50, 57, -28, -61, -1, -11, 30, 29, 83, 81, -22, -24, -5, -22, -13, 69, -92, 11, 0, 17, -49, -39, 56, 86, 86, 96, 73, 68, 2, -76, 59, 6, -37, -20, 65, 58, -23, 24, -40, 96, 79, 10, 17, 32, -11, 23, -91, -86, -87, -98, 99, 63, 67, -34, -1, 20, -37, 87, 4, 74, 58, -7, -51, -5, 66, 57, 38, 91, 10, -18, -91, -99, -21, -83, 15, -8, 4, 23, 75, -57, 76, -40, 57, 54, -68, 46, -40, 83, -89, -49, 52, -13, -45, -98, 5, -1, -100, 5, -79, 83, -44, 56, -73, -15, -80, -3, 87, -44, 72, 3, 76, 16, -99, -22, 100, 69, 59, 35, -76, -46, -50, 86, -15, -9, -100, -92, 19, 29, 98, -26, 3, -41, -19, -89, 73, -80, 4, 85, 39, -18, 77, 31, -77, 24, -37, -48, 71, 1, 37, 50, -100, -50, -4, 56, 87, -76]
[97, 10, -11, 13, -9, 36, 3, 19, 2, 61, -64, -63, -44, 80, -99, -51, 53, 74, -46, -47, 6, -89, -72, 85, -20, 40, 90, 95, 21, -15, 10, -83, 56, 35, -63, -32, 78, 28, -68, -68, 10, -43, 1, 26, 81, -43, 29, -13, 35, -36, 100, -21, -10, -61, -73, 94, -51, 72, -52, -52, -84, 65, -8, 34, -62, 79, 56, -5, 52, -98, -20, -30, -23, 88, -51, 66, 51, 71, 37, 66, 81, 63, -61, -91, 65, 56, 40, 25, -46, 71, -56, 35, -67, 68, -45, -38, -33, -47, 14, 9, 89, -46, 49, -1, 90, 21, -100, -100, -64, 63, 76, 56, 68, 81, 11, -53, 70, 52, 98, -10, 37, 21, -58, -53, -64, -93, -27, 41, 3, -8, 36, -15, 95, -79, -94, -58, 58, 6, 67, -40, -98, -91, -51, 89, -78, -99, 36, -88, 9, 31, 3, 83, -84, -54, -7, 48, 85, -68, -83, 14, 23, 26, 36, 98, 89, -91, 51, -61, 43, 37, 3, -82, 22, 96, -16, -43, -98, 7, 76, 6, 61, 33, 20, -21, -44, -64, 35, -99, -97, -75, -66, -74, 51, -21, -32, -68, 100, 4, -17, 27]
[-90, -51, 89, -8, 14, -15, 26, 3, 100, 83, 90, -86, 44, 68, -80, -52, 95, 4, 72, -34, -97, 7, -70, 11, -73, -6, 12, 16, -99, -25, 15, -67, -98, -76, -8, 38, 40, 5, -58, 55, -12, -91, 11, -28, 66, -35, -1, -19, 65, 56, 60, 100, -36, 67, -26, -79, -85, 99, 16, -13, -49, 16, -36, -11, 84, 96, 21, 33, 8, 55, 42, -14, -38, -17, 81, 45, 69, -93, -41, -70, -86, 64, -5, -30, -51, 0, -9, 77, -47, -32, -89, 45, -13, -78, 89, -52, -65, -60, 56, -18, 76, 100, 42, 45, -2, -64, 21, 52, -54, -16, -51, 40, -63, 57, -72, -15, 0, -72, 66, -23, 62, -11, -33, -8, -75, 26, -37, 9, -63, -77, 76, -28, -24, -92, 56, 61, 35, -90, -91, -22, 14, 77, -66, 96, -4, 29, 67, 84, 39, -85, 5, -20, -86, 0, 81, -41, -6, 41, -20, 75, 0, 12, -45, -42, -54, 90, -6, -58, -96, 97, -72, -36, -30, 28, 55, -76, -74, 99, -39, -99, 54, 11, 29, 0, -22, -76, 61, -34, 27, -33, 77, -21, -9, -36, -80, 1, -36, 41, -55, -75]
[39, 75, 62, 33, 83, -95, 34, 36, -97, -8, 18, -31, 66, 2, -1, -11, 20, 73, 68, 18, -30, 41, -13, 63, 47, 26, 20, -93, -12, 12, 40, -12, 44, 29, 51, 24, -6, 37, -86, -70, -60, 2, 97, -26, -57, 15, -63, -52, -59, -84, 97, -95, 72, -63, 8, 71, -73, -2, 48, 47, -62, 51, 98, 27, 4, -96, -86, -77, -60, 12, 18, 75, -7, 95, -34, 92, -71, -32, -59, 5, -12, -39, -96, 85, 9, -48, -32, 43, 62, 61, -22, 39, -70, 39, -48, 22, 82, -26, 22, 39, -11, -16, 41, -43, -79, -67, 52, 67, 8, 75, -58, 96, 37, 90, 25, 49, -13, 91, 54, 34, -40, -53, 51, -53, 12, -61, 34, 10, 51, 13, -92, -21, -21, 2, 25, -66, 96, 13, -19, 87, 17, -67, -26, 41, 38, -61, -23, 6, 2, 7, 89, -36, 1, 27, 44, 62, -91, -6, 60, 85, -41, 35, -21, -38, -92, -23, 88, 57, -80, 76, 53, 85, 56, 11, 82, 66, -35, -41, -3, 94, -35, 96, 42, -65, 12, 69, -80, -11, 54, -20, -78, -52, -100, -90, -100, 33, -51, 100, 68, -25]
[44, 91, -91, 59, -10, 68, 18, -46, 62, -53, 31, -56, -61, -78, -29, -90, 81, -68, 28, 80, -39, 79, -77, -66, 71, 16, -14, 90, -80, -98, 48, 30, 15, -95, 64, -37, 34, -18, -8, 83, 90, 82, -16, -4, 76, 83, 24, -56, 37, -67, -89, 31, -69, -69, 13, 97, -96, -81, 67, -20, 51, 20, -59, 100, 47, 92, 85, 40, 5, -44, 62, 22, -7, 34, -33, 64, 52, -58, 52, 59, -21, 28, 72, 42, -85, 97, 30, 93, -52, -82, 41, -61, -11, -98, 58, -41, 28, 95, -55, 72, -88, -83, 40, -51, -47, 84, 31, -69, -28, 19, 55, 39, -17, 27, 52, 62, 89, -69, 91, -83, -51, -93, 23, 98, -34, 32, -81, -78, 34, -87, 47, -66, -38, 64, -2, -19, 40, 89, -66, -66, 63, 59, -80, 75, -44, 26, -31, 63, 73, 30, -19, 43, -8, 26, 39, 87, -50, 54, -17, -100, 21, 47, -13, 74, -97, 32, -7, 83, 12, -45, 34, 15, 75, -47, -91, -90, -35, -30, -10, 45, -43, -45, 19, 83, -90, 49, -8, 64, 71, 84, -91, 4, 23, 81, 84, -88, -80, -75, 87, 64]
[-30, 58, -63, 12, 64, 5, 65, -31, -83, 26, 18, -12, -17, -68, 72, 46, 74, 5, 1, 80, 44, -72, -48, -6, 68, 42, 91, -57, 8, 72, 7, 64, -84, 50, 32, 63, -22, -6, -74, 59, 22, -49, 29, -9, 81, -48, 9, 4, -100, 45, -19, -42, -71, -22, 77, -71, -80, -22, -67, -11, 86, -40, -19, 18, -38, 32, -93, 50, -4, -67, -18, 91, -19, -12, -85, -24, -76, -94, -47, 47, 66, -90, 78, 41, 84, 82, -39, 98, -3, -82, -70, -52, 0, 85, 10, 2, 85, -14, 74, 73, -73, 70, 36, 64, 78, 73, 29, -81, 22, -27, 46, -7, 9, -54, -81, -10, 23, -27, -74, -53, -70, 60, -2, -2, 91, -79, -84, -56, -8, -26, -83, -38, 15, -28, -20, -10, -74, 92, 64, 96, 6, -93, -21, -56, 36, 68, -62, -63, -93, 66, -36, -9, 14, -34, 67, 71, 88, -95, 93, 3, -12, 78, -56, 26, -69, 47, -10, 19, -46, 5, 47, -88, 39, -30, 54, -76, -64, 10, -42, -65, 28, 32, -27, -9, -78, 48, -100, -65, 22, -37, -5, 49, -26, -70, 88, -56, -10, 45, 24, -53]
[-95, 34, -55, 94, -7, -97, 68, 68, -38, -75, 80, -55, 38, -100, 38, 24, -76, 71, -47, -85, 43, -34, 67, 75, 87, 29, 84, 73, 78, 86, 5, -13, 40, -9, 29, 34, -18, -80, 71, 65, 73, 67, -65, -89, 66, -41, 87, -19, -73, -30, -50, 75, -65, -48, 5, 44, -92, -51, 38, -84, -27, -13, 97, 58, 40, 50, -20, 84, -63, -38, -55, 83, 33, 17, 69, 57, 12, -52, -24, -63, 27, 61, 93, -20, -79, -54, 95, -59, -92, -66, 86, -21, 18, -90, 68, 67, 50, 90, -89, -36, 35, -83, 32, 84, 3, 45, -62, 99, 93, -81, 76, 22, -81, 7, 30, -13, 54, -74, -83, 48, 53, -74, 68, -77, -5, 92, 88, -24, -43, -25, 6, 58, -76, -33, -66, -84, -4, -4, -77, 61, 56, -60, 3, 60, -41, -38, -52, -46, -76, -9, 84, -37, 2, 56, -61, -10, -79, -45, -22, -48, -8, 40, 35, -94, 21, 48, 55, 39, 31, -13, -35, 65, 62, -59, -23, 63, -90, -20, -62, 100, 14, -29, -97, -71, 1, -8, 15, -39, 71, 43, 52, -47, -39, -74, 63, -38, 97, -58, -96, 57]
