[-65, 98, -97, -52, 63, -74, 48, -66, 0, -9, -90, -14, 22, 35, -67, -58, -21, 88, -89, 7, -85, 68, -63, -44, -68]
[35, 58, 6, 13, -81, -88, -57, 66, -37, 75, 33, -6, -21, 28, 36, 60, -81, -42, 47, -86, 30, -55, -8, 63, -87]
[-53, 71, 33, -9, 19, 61, 67, 70, 6, -81, 72, 36, 74, 11, 7, 27, 66, 89, 32, -4, 12, -40, -82, 74, 18]
[-99, 9, 46, 67, -42, -93, 76, 32, 71, -28, 66, -71, 77, 73, 80, 8, -21, 32, -49, 43, -87, 90, 19, 69, -53]
[72, -69, -8, -32, -77, -62, 92, 4, 4, -69, 47, 29, -51, 19, 12, -1, 77, -34, 79, -21, -66, 33, 53, -92, 47]
[66, 69, -48, 80, -96, -94, 86, 77, 7, -78, 12, 25, 22, -43, 54, 74, 8, 92, -25, 83, 81, 26, -82, 31, 60]
[-17, -37, -60, 84, 86, -21, 14, -62, -82, 69, 55, -100, 81, 31, -40, 24, 27, -89, -38, 46, 21, 58, 79, 66, -82]
[73, -49, -35, -55, 1, 38, 56, 91, -68, 53, -19, 47, -84, 84, -19, 86, 84, 1, -78, -97, -11, -97, -60, 5, -88]
[22, 64, -36, 16, -79, 50, 83, 78, -81, -16, -31, 54, -80, -77, 7, -36, -63, -56, 65, -61, -86, 100, -98, 50, -53]
[-76, 46, -66, -98, 36, -49, -71, -20, 51, -81, -84, 39, -66, 30, -37, -49, -48, 31, 81, -81, -96, -33, 65, -74, 38]
[2, 10, 65, 97, 5, -86, 38, -86, 20, -31, -57, -65, -57, -68, -85, -19, -28, 81, 15, -44, -29, 81, -53, -24, -35]
[8, 27, -63, -33, 20, 85, 51, 78, 14, 61, 49, -19, 85, 90, 60, -5, 59, -56, 6, 64, -18, 36, -97, -36, 14]
[79, 17, -48, 81, 5, -25, -43, -27, -2, 87, -33, 55, -81, 30, -81, -84, 5, 78, -35, 56, 97, 59, 22, 10, 49]
[76, -100, -44, -95, 60, 44, -4, 78, 51, 68, 99, -16, 51, -55, -58, 34, 8, 78, 41, -83, -41, -99, -28, -72, -22]
[81, 41, 47, 29, -78, 10, 0, 83, -69, 31, 8, -80, 22, -29, 2, 40, -60, 42, -83, -97, 34, -2, 25, -96, -52]
[-94, 28, 66, -97, 37, 84, -33, -9, -94, 90, -4, -72, 40, 26, -45, -30, 7, 87, -65, -62, -65, 27, -90, 60, -18]
[6, 79, 32, 94, 78, 87, 7, 86, -39, -39, -55, 4, -58, -40, 45, 76, -49, 84, 66, -89, -50, -64, 78, -85, -6]
[-31, 70, -9, -6, 67, -73, -97, 47, 13, 3, -64, -42, 53, -36, 41, 94, 49, -38, -13, 62, -48, 24, -30, 26, -45]
[99, -1, 17, 68, -46, 61, -43, 43, -23, 85, -66, -75, 40, -67, 26, -41, -95, 42, 85, 9, 57, -41, 2, -82, 3]
[73, 24, 13, 76, -45, 92, -65, 30, 61, 100, -44, -58, 81, -33, 33, 46, -11, -59, 77, 82, -74, 58, -16, 49, -50]
[-6, -7, -64, 100, 97, -71, -30, 45, 58, 9, -97, -70, 62, -71, 53, -97, 58, -33, -43, 38, -55, 27, -66, 80, 100]
[34, 55, -57, -11, 25, 73, -57, 2, 78, 67, 5, -89, 26, 17, 33, -39, 18, -74, -24, 54, 58, 9, 70, 78, -54]
[57, 35, -38, -38, -97, 74, -30, -42, -12, 7, -19, 25, -72, -4, 15, -81, 48, -51, -26, -47, 69, 46, -28, 34, -90]
[-64, 34, 51, -9, -44, 61, 41, 45, 77, 33, -32, -84, 16, 24, -71, -48, 27, 91, -47, 49, 35, -11, -42, 59, -88]
[58, -91, -78, 13, 71, 45, 97, 7, -52, 24, -96, 1, 69, 52, 49, 86, 63, -34, 11, -100, -14, 51, 20, 54, -23]
