[-55, 89, -50, 5, -35, -48, 82, -80, -31, -6, -44, 26, -12, 78, 77, 17, 96, -97, -22, -91, 39, -39, 80, 14, -47, 77, 91, -2, -81, -87, -22, -94, -78, 35, 35, -17, 45, -58, 46, -79, 40, -1, 26, 9, -54, 2, -67, -26, 71, 2]
[-78, -100, 73, -11, -28, -95, 51, -15, 2, 62, -65, 86, -26, 35, 81, 81, 6, 86, -76, -95, -88, -35, 50, 86, 51, -77, 89, 17, -75, 46, 88, -68, -77, 50, -26, 79, 51, 70, -27, 66, -53, -87, -95, -7, 87, 97, 4, 6, 77, -37]
[9, -23, 67, 78, 77, -55, -9, -35, 42, 44, -34, 92, -18, -72, 33, -25, -74, 19, 29, -74, 5, -34, -11, -54, 35, -18, -92, 72, 15, -8, 27, -86, -76, 69, 18, -58, -59, 15, -14, -56, -9, -61, -5, -90, -61, 54, -23, -41, 70, 75]
[8, -29, 19, -43, -72, -93, -95, 75, 18, 11, 63, 93, 92, 68, -73, -51, -79, -17, -5, 91, 51, -55, 66, -77, 97, 69, -26, 81, 74, 92, -9, 10, -55, -46, -1, -82, 13, 35, 83, 28, 96, -79, 57, 9, -36, 16, -6, 0, 85, -81]
[-82, 23, 71, -78, -14, -56, 98, -11, 34, 26, -19, -33, -89, 14, 17, 94, -22, 4, 22, -61, 55, -55, 64, -80, 60, -2, 68, 89, 54, 64, -87, 88, -84, 47, -10, -46, -65, 35, -86, -50, 73, 32, 2, -67, -7, -96, 74, 48, -71, -78]
[54, -65, -64, 52, -8, -5, 99, -8, 89, -59, 46, 21, -85, -39, -69, -87, -53, 97, 92, -49, -92, -52, -50, -88, -75, -2, 1, -81, -40, -11, -63, 78, 88, 19, 46, 68, -1, 14, 61, -97, -74, -21, 44, 28, -98, 72, -62, -64, 50, 30]
[-12, -16, 100, 16, 5, -52, -27, -67, 70, 99, -29, 35, 42, 28, -71, -20, -98, 45, -40, 36, 87, 24, 14, 0, -80, 6, -15, 67, -3, 25, -75, -52, 75, -61, -60, -63, -14, 64, -64, 41, 6, -52, 53, -42, 87, 91, 47, 18, 4, 10]
[-98, -14, -96, -19, -1, -58, 5, -51, -93, -74, 38, 88, -3, -39, -79, -87, 57, -30, -21, -98, -97, 66, 26, -18, -9, -86, -60, -91, -81, -64, -15, -37, 56, -61, 68, 15, 13, 100, -41, 5, 67, 54, 23, 76, -24, 58, -21, 15, 76, 59]
[-59, -50, 26, 19, 90, 37, 67, 56, 30, 28, -77, 87, 43, 77, 30, -99, -38, -10, -51, 38, 28, -51, -41, 3, -70, -11, 43, 8, 13, -53, 56, -42, 37, -100, -17, -58, 94, 81, 84, 38, -78, 56, 23, 100, 36, -57, -92, -83, -53, -94]
[56, -40, -93, 65, -41, 37, -99, -87, -67, 83, 85, -87, 22, 100, 9, -69, -51, -61, 83, -84, 98, -84, 96, -26, -28, 96, 94, 24, -31, -4, -88, -74, 14, 63, -72, -39, -5, 82, -100, -55, 93, 25, 27, -65, -86, -45, 92, -59, -35, 35]
